PAY ITEM,"CODED PAY ITEMS FOR THE Jan 17, 2020 LETTING DESCRIPTION",UNIT,ABBREVIATION,S
M6022715,"DROP MANHOLES, TYPE A1-3, 1.5M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,D MAN TA1-3 1.5 T1FCL,*
M6022720,"DROP MANHOLES, TYPE A1-4, 1.5M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,D MAN TA1-4 1.5 T1FCL,*
M6022725,"DROP MANHOLES, TYPE A2-1, 1.5M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,D MAN TA2-1 1.5 T1FCL,*
M6022730,"DROP MANHOLES, TYPE A2-2, 1.5M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,D MAN TA2-2 1.5 T1FCL,*
M6022735,"DROP MANHOLES, TYPE A2-3, 1.5M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,D MAN TA2-3 1.5 T1FCL,*
M6022740,"DROP MANHOLES, TYPE A2-4, 1.5M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,D MAN TA2-4 1.5 T1FCL,*
M6022810,"MANHOLES, SANITARY, 1.2M DIAMETER,TYPE 1 FRAME, CLOSED LID",EACH   ,MAN SAN 1.2D T1F CL,*
M6022820,"MANHOLES, SANITARY, 1.5M DIAMETER,TYPE 1 FRAME, CLOSED LID",EACH   ,MAN SAN 1.5D T1F CL,*
M6022905,"MANHOLES, SPECIAL, 900MM DIAMETER, TYPE 1 FRAME , OPEN LID",EACH   ,MAN SP 900D T1F OL,*
M6022910,"MANHOLES, SPECIAL, 900MM DIAMETER, TYPE 1 FRAME , CLOSED LID",EACH   ,MAN SP 900D T1F CL,*
M6022915,"MANHOLES, SPECIAL, 900MM DIAMETER, TYPE 8 GRATE",EACH   ,MAN SP 900D T8G,*
M6022920,"MANHOLES, SPECIAL, 900MM DIAMETER, TYPE 10 FRAME AND GRATE",EACH   ,MAN SP 900D T10F&G,*
M6022925,"MANHOLES, SPECIAL, 900MM DIAMETER, TYPE 15 FRAME AND LID",EACH   ,MAN SP 900D T15F&L,*
M6023035,"MANHOLES, SPECIAL, 1.2M DIAMETER, TYPE 8 GRATE",EACH   ,MAN SP 1.2D T8G,*
M6023040,"MANHOLES, SPECIAL, 1.2M DIAMETER, TYPE 15 FRAME AND LID",EACH   ,MAN SP 1.2D T15F&L,*
M6023115,"MANHOLES, SPECIAL, 1.5M DIAMETER, TYPE 1 FRAME, OPEN LID",EACH   ,MAN SP 1.5D T1F OL,*
M6023120,"MANHOLES, SPECIAL, 1.5M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,MAN SP 1.5D T1F CL,*
M6023125,"MANHOLES, SPECIAL, 1.5M DIAMETER, TYPE 5 FRAME, OPEN LID",EACH   ,MAN SP 1.5D T5F OL,*
M6023130,"MANHOLES, SPECIAL, 1.5M DIAMETER, TYPE 5 FRAME, CLOSED LID",EACH   ,MAN SP 1.5D T5F CL,*
M6023135,"MANHOLES, SPECIAL, 1.5M DIAMETER, TYPE 8 GRATE",EACH   ,MAN SP 1.5D T8G,*
M6023140,"MANHOLES, SPECIAL, 1.5M DIAMETER, TYPE 15 FRAME AND LID",EACH   ,MAN SP 1.5D T15F&L,*
M6023210,"MANHOLES, SPECIAL, 1.8M DIAMETER, TYPE 1 FRAME, OPEN LID",EACH   ,MAN SP 1.8D T1F OL,*
M6023215,"MANHOLES, SPECIAL, 1.8M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,MAN SP 1.8D T1F CL,*
M6023255,"MANHOLES, SPECIAL, 2.4M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,MAN SP 2.4D T1F CL,*
M6024065,"INLETS, TYPE A, 600MM DIAMETER WITH TYPE 24 FRAME AND GRATE",EACH   ,INLET TA 600D T24 F&G,
M6024105,"INLETS, SPECIAL, TYPE 3,  900MM",EACH   ,INLETS SPL T3   900,*
M6024110,"INLETS, SPECIAL, TYPE 3, 1050MM",EACH   ,INLETS SPL T3  1050,*
M6024115,"INLETS, SPECIAL, TYPE 3,  1.5M",EACH   ,INLETS SPL T3   1.5,*
M6024120,"INLETS, SPECIAL, TYPE 3A, 1.5M",EACH   ,INLETS SPL T3A  1.5,*
M6024125,"INLETS, SPECIAL, TYPE 3,  1.8M",EACH   ,INLETS SPL T3   1.8,*
M6024130,"INLETS, SPECIAL, TYPE 3A, 1.8M",EACH   ,INLETS SPL T3A  1.8,*
M6024135,"INLETS, SPECIAL, TYPE 3,  2.4M",EACH   ,INLETS SPL T3   2.4,*
M6024310,"VALVE VAULTS, TYPE A, 1.2M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,VV TA 1.2MD T1F CL,
M6024320,"VALVE VAULTS, TYPE A, 1.2M DIAMETER, TYPE 5 FRAME, CLOSED LID",EACH   ,VV TA 1.2MD T5F CL,
M6024410,"VALVE VAULTS, TYPE A, 1.5M DIAMETER, TYPE 1 FRAME, CLOSED LID",EACH   ,VV TA 1.5MD T1F CL,
M6024420,"VALVE VAULTS, TYPE A, 1.5M DIAMETER, TYPE 5 FRAME, CLOSED LID",EACH   ,VV TA 1.5MD T5F CL,
M6060010,CLASS SI CONCRETE (OUTLET),CU M   ,CLASS SI CONC OUTLET,
M6060070,"CONCRETE CURB, TYPE B",METER  ,CONC CURB TB,
M6060120,"CONCRETE CURB, TYPE M",METER  ,CONC CURB TM,*
M6060210,CONCRETE CURB TRANSITION,METER  ,CONC CURB TRANS,*
M6060260,"CONCRETE GUTTER, TYPE A",METER  ,CONC GUTTER TA,
M6060290,"CONCRETE GUTTER, TYPE B",METER  ,CONC GUTTER TB,
M6060320,CONCRETE GUTTER TRANSITION,METER  ,CONC GUTTER TRANS,*
M6060340,GUTTER OUTLET (SPECIAL),METER  ,GUTTER OUTLET SPL,*
M6060500,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.30",METER  ,COMB CC&G TB15.30,
M6060505,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.30 (ABUTTING EXISTING PAVEMENT)",METER  ,COMB CC&G TB15.30 AEP,*
M6060510,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.30 (DOWELLED)",METER  ,COMB CC&G TB15.30 DOW,*
M6060515,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.30 (MODIFIED)",METER  ,COMB CC&G TB15.30 MOD,*
M6060525,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.30 (VARIABLE WIDTH GUTTER FLAG)",METER  ,COMB CC&G TB15.30 VGF,*
M6060600,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.45",METER  ,COMB CC&G TB15.45,
M6060605,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.45 (ABUTTING EXISTING PAVEMENT)",METER  ,COMB CC&G TB15.45 AEP,*
M6060610,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.45 (DOWELLED)",METER  ,COMB CC&G TB15.45 DOW,*
M6060615,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.45 (MODIFIED)",METER  ,COMB CC&G TB15.45 MOD,*
M6060625,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.45 (VARIABLE WIDTH GUTTER FLAG)",METER  ,COMB CC&G TB15.45 VGF,*
M6060700,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.60",METER  ,COMB CC&G TB15.60,
M6060705,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.60 (ABUTTING EXISTING PAVEMENT)",METER  ,COMB CC&G TB15.60 AEP,*
M6060710,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.60 (DOWELLED)",METER  ,COMB CC&G TB15.60 DOW,*
M6060715,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.60 (MODIFIED)",METER  ,COMB CC&G TB15.60 MOD,*
M6060725,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-15.60 (VARIABLE WIDTH GUTTER FLAG)",METER  ,COMB CC&G TB15.60 VGF,*
M6061400,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-22.30",METER  ,COMB CC&G TB22.30,
M6061500,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-22.45",METER  ,COMB CC&G TB22.45,
M6061600,"COMBINATION CONCRETE CURB AND GUTTER, TYPE B-22.60",METER  ,COMB CC&G TB22.60,
M6061700,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-5.15",METER  ,COMB CC&G TM5.15,
M6061800,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-5.30",METER  ,COMB CC&G TM5.30,
M6061805,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-5.30 (DOWELLED)",METER  ,COMB CC&G TM5.30 DOW,*
M6061810,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-5.30 (MODIFIED)",METER  ,COMB CC&G TM5.30 MOD,*
M6061900,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-10.15",METER  ,COMB CC&G TM10.15,
M6061930,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-10.30",METER  ,COMB CC&G TM10.30,
M6061940,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-10.30 (DOWELLED)",METER  ,COMB CC&G TM10.30 DOW,*
M6061960,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-10.45",METER  ,COMB CC&G TM10.45,
M6061990,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-10.60",METER  ,COMB CC&G TM10.60,
M6062100,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-15.15",METER  ,COMB CC&G TM15.15,
M6062200,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-15.30",METER  ,COMB CC&G TM15.30,
M6062300,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-15.45",METER  ,COMB CC&G TM15.45,
M6062400,"COMBINATION CONCRETE CURB AND GUTTER, TYPE M-15.60",METER  ,COMB CC&G TM15.60,
M6063300,"PAVED DITCH, TYPE A-15",METER  ,PAVED DITCH TA-15,
M6063310,"PAVED DITCH, TYPE A-22",METER  ,PAVED DITCH TA-22,
M6063320,"PAVED DITCH, TYPE A-30",METER  ,PAVED DITCH TA-30,
M6063330,"PAVED DITCH, TYPE A-37",METER  ,PAVED DITCH TA-37,
M6063340,"PAVED DITCH, TYPE A-45",METER  ,PAVED DITCH TA-45,
M6063350,"PAVED DITCH, TYPE A-52",METER  ,PAVED DITCH TA-52,
M6063360,"PAVED DITCH, TYPE A-60",METER  ,PAVED DITCH TA-60,
M6063400,"PAVED DITCH, TYPE B-15",METER  ,PAVED DITCH TB-15,
M6063410,"PAVED DITCH, TYPE B-22",METER  ,PAVED DITCH TB-22,
M6063420,"PAVED DITCH, TYPE B-30",METER  ,PAVED DITCH TB-30,
M6063430,"PAVED DITCH, TYPE B-37",METER  ,PAVED DITCH TB-37,
M6063440,"PAVED DITCH, TYPE B-45",METER  ,PAVED DITCH TB-45,
M6063450,"PAVED DITCH, TYPE B-52",METER  ,PAVED DITCH TB-52,
M6063460,"PAVED DITCH, TYPE B-60",METER  ,PAVED DITCH TB-60,
M6063500,PAVED FLUME,METER  ,PAVED FLUME,*
M6063510,PAVED FLUME,SQ M   ,PAVED FLUME,*
M6063600,"CONCRETE MEDIAN SURFACE,  100MM",SQ M   ,CONC MEDIAN SURF  100,
M6063620,"CONCRETE MEDIAN SURFACE,  150MM",SQ M   ,CONC MEDIAN SURF  150,
M6063640,"CONCRETE MEDIAN SURFACE,  175MM",SQ M   ,CONC MEDIAN SURF  175,
M6063740,"CONCRETE MEDIAN, TYPE M-5.15",SQ M   ,CONC MED TM5.15,
M6063750,"CONCRETE MEDIAN, TYPE M-5.30",SQ M   ,CONC MED TM5.30,
M6064000,"CONCRETE MEDIAN, TYPE SB-15.15",SQ M   ,CONC MED TSB15.15,
M6064100,"CONCRETE MEDIAN, TYPE SB-15.30",SQ M   ,CONC MED TSB15.30,
M6064110,"CONCRETE MEDIAN, TYPE SB-15.30 (DOWELLED)",SQ M   ,CONC MED TSB15.30 DOW,*
M6064120,"CONCRETE MEDIAN, TYPE SB-15.30 (MODIFIED)",SQ M   ,CONC MED TSB15.30 MOD,*
M6064130,"CONCRETE MEDIAN, TYPE SB-15.30 (SPECIAL)",SQ M   ,CONC MED TSB15.30 SPL,*
M6064150,"CONCRETE MEDIAN, TYPE SB-15.45",SQ M   ,CONC MED TSB15.45,
M6064200,"CONCRETE MEDIAN, TYPE SB-15.60",SQ M   ,CONC MED TSB15.60,
M6064210,"CONCRETE MEDIAN, TYPE SB-15.60 (DOWELLED)",SQ M   ,CONC MED TSB15.60 DOW,*
M6064220,"CONCRETE MEDIAN, TYPE SB-15.60 (MODIFIED)",SQ M   ,CONC MED TSB15.60 MOD,*
M6064230,"CONCRETE MEDIAN, TYPE SB-15.60 (SPECIAL)",SQ M   ,CONC MED TSB15.60 SPL,*
M6064500,"CONCRETE MEDIAN, TYPE SB-22.15",SQ M   ,CONC MED TSB22.15,
M6064600,"CONCRETE MEDIAN, TYPE SB-22.30",SQ M   ,CONC MED TSB22.30,
M6064650,"CONCRETE MEDIAN, TYPE SB-22.45",SQ M   ,CONC MED TSB22.45,
M6064700,"CONCRETE MEDIAN, TYPE SB-22.60",SQ M   ,CONC MED TSB22.60,
M6065100,"CONCRETE MEDIAN, TYPE SM-10.15",SQ M   ,CONC MED TSM10.15,
M6065150,"CONCRETE MEDIAN, TYPE SM-10.60",SQ M   ,CONC MED TSM10.60,
M6065200,"CONCRETE MEDIAN, TYPE SM-15.15",SQ M   ,CONC MED TSM15.15,
M6065300,"CONCRETE MEDIAN, TYPE SM-15.30",SQ M   ,CONC MED TSM15.30,
M6065400,"CONCRETE MEDIAN, TYPE SM-15.45",SQ M   ,CONC MED TSM15.45,
M6065500,"CONCRETE MEDIAN, TYPE SM-15.60",SQ M   ,CONC MED TSM15.60,
M6065800,"CONCRETE MEDIAN, TYPE 4",SQ M   ,CONC MED T4,*
M6065810,"CONCRETE MEDIAN, TYPE 4A",SQ M   ,CONC MED T4A,*
M6065900,CONCRETE BARRIER MEDIAN,SQ M   ,CONC BAR MED,*
M6066000,CORRUGATED MEDIAN,SQ M   ,CORRUGATED MED,
M6066010,CORRUGATED MEDIAN (DOWELLED),SQ M   ,CORRUGATED MED DOW,*
M6066020,CORRUGATED MEDIAN (MODIFIED),SQ M   ,CORRUGATED MED MOD,*
M6066030,CORRUGATED MEDIAN (SPECIAL),SQ M   ,CORRUGATED MED SPL,*
M6066200,ISLAND PAVEMENT (150MM),SQ M   ,ISLAND PAVEMENT  150,*
M6066210,ISLAND PAVEMENT (200MM),SQ M   ,ISLAND PAVEMENT  200,*
M6066400,STABILIZED MEDIAN SURFACE,SQ M   ,STAB MED SURF,*
M6066500,TRANSITIONAL COMBINATION CONCRETE CURB AND GUTTER,METER  ,TRANS COMB CC&G,*
M6080120,FLAP GATE   200MM,EACH   ,FLAP GATE   200,
M6080130,FLAP GATE   250MM,EACH   ,FLAP GATE   250,
M6080140,FLAP GATE   300MM,EACH   ,FLAP GATE   300,
M6080150,FLAP GATE   375MM,EACH   ,FLAP GATE   375,
M6080160,FLAP GATE   450MM,EACH   ,FLAP GATE   450,
M6080170,FLAP GATE   525MM,EACH   ,FLAP GATE   525,
M6080180,FLAP GATE   600MM,EACH   ,FLAP GATE   600,
M6080190,FLAP GATE   675MM,EACH   ,FLAP GATE   675,
M6080200,FLAP GATE   750MM,EACH   ,FLAP GATE   750,
M6080210,FLAP GATE   900MM,EACH   ,FLAP GATE   900,
M6080220,FLAP GATE  1050MM,EACH   ,FLAP GATE  1050,
M6080230,FLAP GATE  1200MM,EACH   ,FLAP GATE  1200,
M6080240,FLAP GATE  1350MM,EACH   ,FLAP GATE  1350,
M6080250,FLAP GATE  1500MM,EACH   ,FLAP GATE  1500,
M6110050,EXPLORATION TRENCH 1.3 METER DEPTH,METER  ,EXPLOR TRENCH 1.3,
M6110065,MISCELLANEOUS CONCRETE,CU M   ,MISC CONCRETE,
M6110070,"FIELD TILE JUNCTION VAULTS,  600MM DIA.",EACH   ,FLD TILE JUN VLT  600,
M6110080,"FIELD TILE JUNCTION VAULTS,  900MM DIA.",EACH   ,FLD TILE JUN VLT  900,
M6110207,"STORM SEWERS PROTECTED, CLASS A,  100MM",METER  ,STORM SEW PROT A  100,
M6110212,"STORM SEWERS PROTECTED, CLASS A,  150MM",METER  ,STORM SEW PROT A  150,
M6110217,"STORM SEWERS PROTECTED, CLASS A,  200MM",METER  ,STORM SEW PROT A  200,
M6110222,"STORM SEWERS PROTECTED, CLASS A,  250MM",METER  ,STORM SEW PROT A  250,
M6110227,"STORM SEWERS PROTECTED, CLASS A,  300MM",METER  ,STORM SEW PROT A  300,
M6110232,"STORM SEWERS PROTECTED, CLASS A,  350MM",METER  ,STORM SEW PROT A  350,
M6110237,"STORM SEWERS PROTECTED, CLASS A,  375MM",METER  ,STORM SEW PROT A  375,
M6110242,"STORM SEWERS PROTECTED, CLASS A,  450MM",METER  ,STORM SEW PROT A  450,
M6110247,"STORM SEWERS PROTECTED, CLASS A,  500MM",METER  ,STORM SEW PROT A  500,
M6110252,"STORM SEWERS PROTECTED, CLASS A,  525MM",METER  ,STORM SEW PROT A  525,
M6110257,"STORM SEWERS PROTECTED, CLASS A,  600MM",METER  ,STORM SEW PROT A  600,
M6110267,"STORM SEWERS PROTECTED, CLASS A,  750MM",METER  ,STORM SEW PROT A  750,
M6110305,"STORM SEWERS (SPECIAL),  100MM",METER  ,STORM SEW SPEC    100,
M6110310,"STORM SEWERS (SPECIAL),  150MM",METER  ,STORM SEW SPEC    150,
M6110315,"STORM SEWERS (SPECIAL),  200MM",METER  ,STORM SEW SPEC    200,
M6110320,"STORM SEWERS (SPECIAL),  250MM",METER  ,STORM SEW SPEC    250,
M6110325,"STORM SEWERS (SPECIAL),  300MM",METER  ,STORM SEW SPEC    300,
M6110330,"STORM SEWERS (SPECIAL),  350MM",METER  ,STORM SEW SPEC    350,
M6110335,"STORM SEWERS (SPECIAL),  375MM",METER  ,STORM SEW SPEC    375,
M6110340,"STORM SEWERS (SPECIAL),  400MM",METER  ,STORM SEW SPEC    400,
M6110345,"STORM SEWERS (SPECIAL),  450MM",METER  ,STORM SEW SPEC    450,
M6110350,"STORM SEWERS (SPECIAL),  500MM",METER  ,STORM SEW SPEC    500,
M6110355,"STORM SEWERS (SPECIAL),  525MM",METER  ,STORM SEW SPEC    525,
M6110360,"STORM SEWERS (SPECIAL),  600MM",METER  ,STORM SEW SPEC    600,
M6110365,"STORM SEWERS (SPECIAL),  675MM",METER  ,STORM SEW SPEC    675,
M6110370,"STORM SEWERS (SPECIAL),  750MM",METER  ,STORM SEW SPEC    750,
M6110375,"STORM SEWERS (SPECIAL),  825MM",METER  ,STORM SEW SPEC    825,
M6110380,"STORM SEWERS (SPECIAL),  900MM",METER  ,STORM SEW SPEC    900,
M6110385,"STORM SEWERS (SPECIAL),  975MM",METER  ,STORM SEW SPEC    975,
M6110390,"STORM SEWERS (SPECIAL), 1050MM",METER  ,STORM SEW SPEC   1050,
M6300101,"STEEL PLATE BEAM GUARDRAIL, TYPE A, 1.83M POSTS",METER  ,SPBGR TY A 1.83 POSTS,
M6300103,"STEEL PLATE BEAM GUARDRAIL, TYPE A, 2.74M POSTS",METER  ,SPBGR TY A 2.74 POSTS,
M6300110,"STEEL PLATE BEAM GUARDRAIL, TYPE B",METER  ,SPBGR TY B,
M6300120,"STEEL PLATE BEAM GUARDRAIL, TYPE C",METER  ,SPBGR TY C,
M6300130,"STEEL PLATE BEAM GUARDRAIL, TYPE D",METER  ,SPBGR TY D,
M6300350,"LONG-SPAN GUARDRAIL OVER CULVERT, 3.8M SPAN",METER  ,LSG OV CUL 3.8M  SPAN,
M6300360,"LONG-SPAN GUARDRAIL OVER CULVERT, 5.7M SPAN",METER  ,LSG OV CUL 5.7M  SPAN,
M6300370,"LONG-SPAN GUARDRAIL OVER CULVERT, 7.6M SPAN",METER  ,LSG OVER CUL 7.6M SPN,
M6320030,GUARDRAIL REMOVAL,METER  ,GUARDRAIL REMOV,
M6320040,CABLE ROAD GUARD REMOVAL,METER  ,CABLE ROAD GD REM,
M6330440,RUB RAIL,METER  ,RUB RAIL,*
M6330600,REMOVE AND REERECT RAIL ELEMENT OF EXISTING GUARDRAIL,METER  ,R&R RAIL ELEM EX GDRL,
M6330610,REMOVE AND RE-ERECT STEEL PLATE BEAM GUARDRAIL,METER  ,REM & RE-ERECT SPBGR,*
M6330700,"REMOVE AND REERECT STEEL PLATE BEAM GUARDRAIL, TYPE A",METER  ,REM RE-E SPBGR TY A,
M6330710,"REMOVE AND REERECT STEEL PLATE BEAM GUARDRAIL, TYPE B",METER  ,REM RE-E SPBGR TY B,
M6330720,"REMOVE AND REERECT STEEL PLATE BEAM GUARDRAIL, TYPE C",METER  ,REM RE-E SPBGR TY C,
M6330730,"REMOVE AND REERECT STEEL PLATE BEAM GUARDRAIL, TYPE D",METER  ,REM RE-E SPBGR TY D,
M6330740,"REMOVE AND REERECT STEEL PLATE BEAM GUARDRAIL, ATTACHED TO STRUCTURES",METER  ,REM RE-E SPBGR ATS,*
M6360100,"CABLE ROAD GUARD, SINGLE STRAND",METER  ,CABLE RD GD 1 STRAND,
M6370805,CONCRETE BARRIER TRANSITION,METER  ,CONC BAR TRANS,
M6370815,CONCRETE BARRIER BASE,METER  ,CONC BARRIER BASE,
M6380200,CONCRETE GLARE SCREEN,METER  ,CONC GLARE SCREEN,*
M6390100,SIGHT SCREEN (PRECAST PRESTRESSED CONCRETE PANEL WALL)  1.8M,METER  ,SIGHT SCN (PPCPW) 1.8,
M6390200,SIGHT SCREEN (PRECAST PRESTRESSED CONCRETE PANEL WALL)  2.4M,METER  ,SIGHT SCN (PPCPW) 2.4,
M6390300,SIGHT SCREEN (PRECAST PRESTRESSED CONCRETE PANEL WALL)  3.0M,METER  ,SIGHT SCN (PPCPW) 3.0,
M6400110,SIGHT SCREEN (CHAIN LINK FENCE)  1.8M,METER  ,SIGHT SCRN (CLF)  1.8,
M6400120,SIGHT SCREEN (CHAIN LINK FENCE)  2.4M,METER  ,SIGHT SCRN (CLF)  2.4,
M6400130,SIGHT SCREEN (CHAIN LINK FENCE)  3.0M,METER  ,SIGHT SCRN (CLF)  3.0,*
M6410115,"SIGHT SCREEN (WOODEN FENCE), TYPE P 1.8M",METER  ,SIGHT SCR (WF) TP 1.8,
M6410120,"SIGHT SCREEN (WOODEN FENCE), TYPE P 2.4M",METER  ,SIGHT SCR (WF) TP 2.4,
M6410215,"SIGHT SCREEN (WOODEN FENCE), TYPE S 1.8M",METER  ,SIGHT SCR (WF) TS 1.8,
M6410220,"SIGHT SCREEN (WOODEN FENCE), TYPE S 2.4M",METER  ,SIGHT SCR (WF) TS 2.4,
M6610400,HOT-MIX ASPHALT SHOULDER CURB,METER  ,HMA SHOULDER CURB,
M6620100,CONCRETE SHOULDER CURB,METER  ,CONC SHLD CURB,
M6630100,CALCIUM CHLORIDE APPLIED,M TON  ,CALCIUM CHLORIDE APLD,
M6640100,"CHAIN LINK FENCE,   1.2 METER",METER  ,CH LK FENCE   1.2,
M6640110,"CHAIN LINK FENCE,   1.5 METER",METER  ,CH LK FENCE   1.5,
M6640120,"CHAIN LINK FENCE,   1.8 METER",METER  ,CH LK FENCE   1.8,
M6640130,"CHAIN LINK FENCE,   2.1 METER",METER  ,CH LK FENCE   2.1,
M6640140,"CHAIN LINK FENCE,   2.4 METER",METER  ,CH LK FENCE   2.4,
M6640150,"CHAIN LINK FENCE,   3.0 METER",METER  ,CH LK FENCE   3.0,
M6640160,"CHAIN LINK FENCE,   3.7 METER",METER  ,CH LK FENCE   3.7,
M6640400,"CHAIN LINK GATES, 1.2M X 0.9M SINGLE",EACH   ,CH LK GATE 1.2X0.9 SL,
M6640410,"CHAIN LINK GATES, 1.2M X 1.2M SINGLE",EACH   ,CH LK GATE 1.2X1.2 SL,
M6640420,"CHAIN LINK GATES, 1.2M X 1.5M SINGLE",EACH   ,CH LK GATE 1.2X1.5 SL,
M6640430,"CHAIN LINK GATES, 1.2M X 1.8M SINGLE",EACH   ,CH LK GATE 1.2X1.8 SL,
M6640440,"CHAIN LINK GATES, 1.2M X 2.1M SINGLE",EACH   ,CH LK GATE 1.2X2.1 SL,
M6640450,"CHAIN LINK GATES, 1.2M X 2.4M SINGLE",EACH   ,CH LK GATE 1.2X2.4 SL,
M6640460,"CHAIN LINK GATES, 1.2M X 2.7M SINGLE",EACH   ,CH LK GATE 1.2X2.7 SL,
M6640470,"CHAIN LINK GATES, 1.2M X 3.0M SINGLE",EACH   ,CH LK GATE 1.2X3.0 SL,
M6640480,"CHAIN LINK GATES, 1.2M X 3.3M SINGLE",EACH   ,CH LK GATE 1.2X3.3 SL,
M6640490,"CHAIN LINK GATES, 1.2M X 3.7M SINGLE",EACH   ,CH LK GATE 1.2X3.7 SL,
M6640590,"CHAIN LINK GATES, 1.5M X 3.7M SINGLE",EACH   ,CH LK GATE 1.5X3.7 SL,
M6640600,"CHAIN LINK GATES, 1.8M X 0.9M SINGLE",EACH   ,CH LK GATE 1.8X0.9 SL,
M6640610,"CHAIN LINK GATES, 1.8M X 1.2M SINGLE",EACH   ,CH LK GATE 1.8X1.2 SL,
M6640620,"CHAIN LINK GATES, 1.8M X 1.5M SINGLE",EACH   ,CH LK GATE 1.8X1.5 SL,
M6640630,"CHAIN LINK GATES, 1.8M X 1.8M SINGLE",EACH   ,CH LK GATE 1.8X1.8 SL,
M6640640,"CHAIN LINK GATES, 1.8M X 2.1M SINGLE",EACH   ,CH LK GATE 1.8X2.1 SL,
M6640650,"CHAIN LINK GATES, 1.8M X 2.4M SINGLE",EACH   ,CH LK GATE 1.8X2.4 SL,
M6640660,"CHAIN LINK GATES, 1.8M X 2.7M SINGLE",EACH   ,CH LK GATE 1.8X2.7 SL,
M6640670,"CHAIN LINK GATES, 1.8M X 3.0M SINGLE",EACH   ,CH LK GATE 1.8X3.0 SL,
M6640680,"CHAIN LINK GATES, 1.8M X 3.3M SINGLE",EACH   ,CH LK GATE 1.8X3.3 SL,
M6640690,"CHAIN LINK GATES, 1.8M X 3.7M SINGLE",EACH   ,CH LK GATE 1.8X3.7 SL,
M6640700,"CHAIN LINK GATES, 2.1M X 0.9M SINGLE",EACH   ,CH LK GATE 2.1X0.9 SL,
M6640710,"CHAIN LINK GATES, 2.1M X 1.2M SINGLE",EACH   ,CH LK GATE 2.1X1.2 SL,
M6640720,"CHAIN LINK GATES, 2.1M X 1.5M SINGLE",EACH   ,CH LK GATE 2.1X1.5 SL,
M6640730,"CHAIN LINK GATES, 2.1M X 1.8M SINGLE",EACH   ,CH LK GATE 2.1X1.8 SL,
M6640740,"CHAIN LINK GATES, 2.1M X 2.1M SINGLE",EACH   ,CH LK GATE 2.1X2.1 SL,
M6640750,"CHAIN LINK GATES, 2.1M X 2.4M SINGLE",EACH   ,CH LK GATE 2.1X2.4 SL,
M6640760,"CHAIN LINK GATES, 2.1M X 2.7M SINGLE",EACH   ,CH LK GATE 2.1X2.7 SL,
M6640770,"CHAIN LINK GATES, 2.1M X 3.0M SINGLE",EACH   ,CH LK GATE 2.1X3.0 SL,
M6640780,"CHAIN LINK GATES, 2.1M X 3.3M SINGLE",EACH   ,CH LK GATE 2.1X3.3 SL,
M6640790,"CHAIN LINK GATES, 2.1M X 3.7M SINGLE",EACH   ,CH LK GATE 2.1X3.7 SL,
M6640800,"CHAIN LINK GATES, 2.4M X 0.9M SINGLE",EACH   ,CH LK GATE 2.4X0.9 SL,
